章节,功能编号,功能名称,功能描述,输入,处理逻辑,输出,优先级,验收标准,版本,日期
4-功能需求,REQ-FUNC-CLI-001,CLI-前台启动调度器,"用户通过 CLI start 命令前台启动调度器","--tasks-dir/--config 参数","解析参数→加载配置→注册任务→启动调度→前台运行","调度器运行状态",Should,"1.start 支持前台运行；2.支持 --config 指定配置文件；3.支持 --tasks-dir 指定任务目录",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-002,CLI-查看状态,"用户通过 CLI status 命令查看调度器运行状态","无","查询调度器状态→格式化输出","调度器状态(运行中/已停止/任务数)",Should,"1.status 命令可用；2.显示任务总数/活跃数/失败数",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-003,CLI-列出任务,"用户通过 CLI list 命令列出已注册任务","无","查询注册表→格式化输出","任务列表(名称/触发器/状态)",Should,"1.list 命令可用；2.显示任务名称/触发器类型/状态",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-004,CLI-手动执行,"用户通过 CLI run 命令手动执行指定任务","task_name 参数","查找任务→创建上下文→执行→返回结果","执行结果",Should,"1.run 命令可用；2.支持指定 task_name；3.显示执行结果/耗时",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-005,CLI-查看历史,"用户通过 CLI history 命令查看执行历史","--task-name 可选参数","查询 SQLite 执行记录→格式化输出","执行历史列表",Should,"1.history 命令可用；2.支持 --task-name 过滤；3.显示时间/任务名/状态/耗时",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-006,CLI-查看统计,"用户通过 CLI stats 命令查看任务执行统计","无","聚合计算→格式化输出","统计数据(成功率/平均耗时/重试率)",Should,"1.stats 命令可用；2.显示成功率/平均耗时/重试率/死信数",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CLI-007,CLI-查看死信队列,"用户通过 CLI dlq 命令查看死信队列","无","查询 DLQ 任务→格式化输出","死信任务列表",Should,"1.dlq 命令可用；2.显示任务名/重试次数/错误信息/时间",v1.0,2026-09-01
4-功能需求,REQ-FUNC-PRJ-001,跨项目复用,"经 PROJECT_ROOT 环境变量注入可调度其他项目的任务","PROJECT_ROOT 环境变量 + --tasks-dir 参数","读取 PROJECT_ROOT→加载目标项目任务目录→注册任务→调度执行","外部项目任务调度",Should,"1.读取 PROJECT_ROOT；2.外部项目可指定 tasks 目录；3.至少 1 个外部项目验证通过",v1.0,2026-09-01
4-功能需求,REQ-FUNC-RET-001,TaskResult 返回值规范,"支持多返回值类型，可控制 skip_retry 行为","任务函数返回值(None/True/str/dict/TaskResult)","类型识别→结果封装→成功/失败/DLQ 判定","TaskResult 对象",Should,"1.None/True/str/dict 视为成功；2.TaskResult.ok() 创建成功结果；3.TaskResult.fail(skip_retry=True) 业务错误直接 DLQ；4.TaskResult.fail(skip_retry=False) 可重试(默认)",v1.0,2026-09-01
4-功能需求,REQ-FUNC-CFG-001,配置管理-YAML,"提供 YAML 配置文件管理调度器/执行/记录/告警四大配置域","YAML 配置文件","解析 YAML→合并默认值→配置校验→注入调度器","Config 对象",Should,"1.调度器域：timezone/jobstore.path/executor.max_workers/misfire_grace_time/coalesce；2.执行域：default_max_retries/default_timeout/retry_base_delay/retry_max_delay/retry_jitter；3.记录域：enabled/csv_path/archive_days；4.告警域：enabled/system_notification/failed_alert_threshold/queue_alert_threshold/heartbeat_timeout/webhook_url",v1.0,2026-09-01
4-功能需求,REQ-FUNC-EXM-001,内置示例任务,"提供 example_tasks.py 演示核心特性用法","无(内置)","示例任务覆盖 cron/interval/date 三种触发器 + 幂等键 + TaskResult.skip_retry","可执行示例",Could,"1.至少 3 个示例覆盖三种触发器；2.演示幂等键用法；3.演示 TaskResult.skip_retry 用法；4.可通过 CLI run 执行验证",v1.0,2026-09-01
